"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"01/10/2019 06:10:21 a.m."|"01/10/2019 02:15:02 p.m."|"A01"|"30243"|"27197"|"3026"|"20"|"28.38"|"1066"|
"01/10/2019 06:15:10 a.m."|"01/10/2019 02:15:48 p.m."|"A02"|"24384"|"21546"|"2831"|"7"|"27.88"|"875"|
"01/10/2019 06:15:24 a.m."|"01/10/2019 02:15:35 p.m."|"A03"|"18651"|"16031"|"2618"|"2"|"18.79"|"992"|
"01/10/2019 06:10:13 a.m."|"01/10/2019 02:15:50 p.m."|"A04"|"19208"|"15587"|"3601"|"20"|"19.74"|"973"|
"01/10/2019 06:14:13 a.m."|"01/10/2019 02:14:49 p.m."|"B01"|"4315"|"4061"|"185"|"69"|"16.63"|"259"|
"01/10/2019 06:16:40 a.m."|"01/10/2019 02:14:32 p.m."|"C01"|"2939"|"2842"|"77"|"20"|"9.01"|"326"|
