"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"10/10/2019 06:14:00 a.m."|"10/10/2019 02:00:01 p.m."|"A01"|"27858"|"25093"|"2533"|"232"|"28.92"|"963"|
"10/10/2019 06:14:51 a.m."|"10/10/2019 02:00:02 p.m."|"A02"|"22690"|"19111"|"3443"|"136"|"29.33"|"774"|
"10/10/2019 06:13:44 a.m."|"10/10/2019 02:00:01 p.m."|"A03"|"26918"|"23938"|"2900"|"80"|"29.49"|"913"|
"10/10/2019 06:14:05 a.m."|"10/10/2019 02:00:02 p.m."|"A04"|"25459"|"22693"|"2604"|"162"|"33.46"|"761"|
"10/10/2019 06:15:07 a.m."|"10/10/2019 02:00:01 p.m."|"B01"|"5664"|"5345"|"127"|"192"|"19.94"|"284"|
"10/10/2019 06:16:49 a.m."|"10/10/2019 01:59:53 p.m."|"C01"|"3294"|"3060"|"89"|"145"|"11.36"|"290"|
