"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"09/10/2019 06:12:17 a.m."|"09/10/2019 02:00:01 p.m."|"A01"|"29724"|"24562"|"5161"|"1"|"29.93"|"993"|
"09/10/2019 06:15:52 a.m."|"09/10/2019 02:00:01 p.m."|"A02"|"28260"|"21934"|"6299"|"27"|"30.39"|"930"|
"09/10/2019 06:10:56 a.m."|"09/10/2019 02:00:02 p.m."|"A03"|"33860"|"25910"|"7910"|"40"|"28.30"|"1196"|
"09/10/2019 06:13:13 a.m."|"09/10/2019 01:59:59 p.m."|"A04"|"32803"|"24683"|"7986"|"134"|"30.60"|"1072"|
"09/10/2019 06:15:47 a.m."|"09/10/2019 01:59:59 p.m."|"B01"|"5176"|"4968"|"187"|"21"|"19.87"|"261"|
"09/10/2019 06:16:11 a.m."|"09/10/2019 01:59:44 p.m."|"C01"|"3446"|"3005"|"146"|"295"|"11.48"|"300"|
