"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"07/10/2019 06:15:18 a.m."|"07/10/2019 02:15:48 p.m."|"A01"|"26690"|"23783"|"2750"|"157"|"29.28"|"912"|
"07/10/2019 06:15:25 a.m."|"07/10/2019 02:14:53 p.m."|"A02"|"25735"|"22424"|"3159"|"152"|"28.65"|"898"|
"07/10/2019 06:15:25 a.m."|"07/10/2019 02:15:50 p.m."|"A03"|"28828"|"26102"|"2547"|"179"|"28.36"|"1016"|
"07/10/2019 06:15:28 a.m."|"07/10/2019 02:15:07 p.m."|"A04"|"26915"|"24109"|"2616"|"190"|"31.31"|"860"|
"07/10/2019 06:15:29 a.m."|"07/10/2019 02:15:06 p.m."|"B01"|"5916"|"5566"|"219"|"131"|"21.54"|"275"|
"07/10/2019 06:15:03 a.m."|"07/10/2019 02:14:47 p.m."|"C01"|"3708"|"3506"|"84"|"118"|"10.68"|"347"|
