"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"26/09/2019 06:14:39 a.m."|"26/09/2019 02:00:51 p.m."|"A01"|"30862"|"26781"|"4075"|"6"|"30.36"|"1017"|
"26/09/2019 06:14:12 a.m."|"26/09/2019 02:00:51 p.m."|"A02"|"25955"|"22092"|"3861"|"2"|"29.66"|"875"|
"26/09/2019 06:15:07 a.m."|"26/09/2019 02:00:50 p.m."|"A03"|"29435"|"26131"|"3300"|"4"|"27.97"|"1052"|
"26/09/2019 06:14:36 a.m."|"26/09/2019 02:00:48 p.m."|"A04"|"27467"|"21892"|"5566"|"9"|"27.84"|"986"|
"26/09/2019 06:13:31 a.m."|"26/09/2019 02:00:51 p.m."|"B01"|"5442"|"5035"|"307"|"100"|"18.53"|"294"|
"26/09/2019 06:13:42 a.m."|"26/09/2019 02:00:50 p.m."|"C01"|"3782"|"3534"|"86"|"162"|"11.44"|"331"|
