"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"24/09/2019 06:30:09 a.m."|"24/09/2019 01:59:44 p.m."|"A01"|"33414"|"30093"|"3313"|"8"|"28.25"|"1183"|
"24/09/2019 06:31:11 a.m."|"24/09/2019 01:59:58 p.m."|"A02"|"25936"|"22595"|"3341"|"0"|"26.89"|"965"|
"24/09/2019 06:30:44 a.m."|"24/09/2019 02:00:17 p.m."|"A03"|"29810"|"26337"|"3471"|"2"|"27.40"|"1088"|
"24/09/2019 06:28:40 a.m."|"24/09/2019 01:59:52 p.m."|"A04"|"28008"|"23218"|"4787"|"3"|"27.23"|"1029"|
"24/09/2019 06:27:14 a.m."|"24/09/2019 01:58:56 p.m."|"B01"|"5098"|"4924"|"165"|"9"|"20.65"|"247"|
"24/09/2019 06:25:34 a.m."|"24/09/2019 01:59:02 p.m."|"C01"|"3311"|"3195"|"74"|"42"|"9.32"|"355"|
