"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"02/10/2019 06:12:37 a.m."|"02/10/2019 02:15:50 p.m."|"A01"|"30674"|"27761"|"2897"|"16"|"28.32"|"1083"|
"02/10/2019 06:11:55 a.m."|"02/10/2019 02:15:28 p.m."|"A02"|"25521"|"22190"|"3313"|"18"|"30.07"|"849"|
"02/10/2019 06:13:20 a.m."|"02/10/2019 02:15:51 p.m."|"A03"|"30786"|"27411"|"3367"|"8"|"28.08"|"1097"|
"02/10/2019 06:12:17 a.m."|"02/10/2019 02:15:51 p.m."|"A04"|"28824"|"25030"|"3774"|"20"|"28.88"|"998"|
"02/10/2019 06:15:26 a.m."|"02/10/2019 02:14:21 p.m."|"B01"|"5129"|"4814"|"227"|"88"|"19.60"|"262"|
"02/10/2019 06:14:12 a.m."|"02/10/2019 02:15:17 p.m."|"C01"|"3359"|"3219"|"89"|"51"|"11.46"|"293"|
