"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"08/10/2019 06:16:02 a.m."|"08/10/2019 02:15:45 p.m."|"A01"|"33529"|"26911"|"6491"|"127"|"28.92"|"1160"|
"08/10/2019 06:15:11 a.m."|"08/10/2019 02:15:51 p.m."|"A02"|"29029"|"21906"|"6997"|"126"|"29.35"|"989"|
"08/10/2019 06:15:40 a.m."|"08/10/2019 02:15:51 p.m."|"A03"|"32368"|"25427"|"6870"|"71"|"28.87"|"1121"|
"08/10/2019 06:15:20 a.m."|"08/10/2019 02:15:51 p.m."|"A04"|"30598"|"24804"|"5713"|"81"|"31.71"|"965"|
"08/10/2019 06:15:14 a.m."|"08/10/2019 02:14:46 p.m."|"B01"|"5329"|"5071"|"173"|"85"|"19.61"|"272"|
"08/10/2019 06:15:22 a.m."|"08/10/2019 02:13:27 p.m."|"C01"|"2897"|"2657"|"123"|"117"|"12.19"|"238"|
