"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"25/09/2019 06:12:24 a.m."|"25/09/2019 02:15:03 p.m."|"A01"|"35613"|"30217"|"5352"|"44"|"34.29"|"1039"|
"25/09/2019 06:11:39 a.m."|"25/09/2019 02:15:27 p.m."|"A02"|"28151"|"22102"|"6026"|"23"|"31.79"|"885"|
"25/09/2019 06:10:50 a.m."|"25/09/2019 02:15:04 p.m."|"A03"|"31665"|"26053"|"5581"|"31"|"32.50"|"974"|
"25/09/2019 06:14:35 a.m."|"25/09/2019 02:15:32 p.m."|"A04"|"29184"|"22074"|"7055"|"55"|"31.96"|"913"|
"25/09/2019 06:10:34 a.m."|"25/09/2019 02:14:49 p.m."|"B01"|"4641"|"4423"|"170"|"48"|"19.72"|"235"|
"25/09/2019 06:14:58 a.m."|"25/09/2019 02:14:13 p.m."|"C01"|"3309"|"3152"|"87"|"70"|"12.63"|"262"|
