"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"03/10/2019 06:13:21 a.m."|"03/10/2019 02:15:03 p.m."|"A01"|"30570"|"23848"|"6707"|"15"|"29.86"|"1024"|
"03/10/2019 06:07:44 a.m."|"03/10/2019 02:14:59 p.m."|"A02"|"27462"|"20668"|"6782"|"12"|"30.02"|"915"|
"03/10/2019 06:08:03 a.m."|"03/10/2019 02:15:02 p.m."|"A03"|"31888"|"25646"|"6227"|"15"|"29.23"|"1091"|
"03/10/2019 06:14:22 a.m."|"03/10/2019 02:15:21 p.m."|"A04"|"31587"|"23532"|"8037"|"18"|"31.73"|"996"|
"03/10/2019 06:14:15 a.m."|"03/10/2019 02:14:45 p.m."|"B01"|"5437"|"5154"|"183"|"100"|"21.92"|"248"|
"03/10/2019 06:16:37 a.m."|"03/10/2019 02:15:51 p.m."|"C01"|"3566"|"3438"|"95"|"33"|"13.56"|"263"|
