"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"27/09/2019 06:14:44 a.m."|"27/09/2019 02:15:14 p.m."|"A01"|"27569"|"25420"|"2130"|"19"|"32.30"|"853"|
"27/09/2019 06:15:39 a.m."|"27/09/2019 02:15:44 p.m."|"A02"|"24426"|"21471"|"2955"|"0"|"29.40"|"831"|
"27/09/2019 06:12:53 a.m."|"27/09/2019 02:15:32 p.m."|"A03"|"28044"|"25214"|"2822"|"8"|"30.44"|"921"|
"27/09/2019 06:15:14 a.m."|"27/09/2019 02:15:03 p.m."|"A04"|"26147"|"21686"|"4455"|"6"|"33.63"|"777"|
"27/09/2019 06:15:38 a.m."|"27/09/2019 02:15:44 p.m."|"B01"|"5309"|"4885"|"314"|"110"|"20.71"|"256"|
"27/09/2019 06:14:43 a.m."|"27/09/2019 02:15:26 p.m."|"C01"|"3519"|"3342"|"97"|"80"|"13.73"|"256"|
