"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"04/10/2019 06:13:19 a.m."|"04/10/2019 02:15:50 p.m."|"A01"|"31200"|"27374"|"3810"|"16"|"29.79"|"1047"|
"04/10/2019 06:15:20 a.m."|"04/10/2019 02:15:31 p.m."|"A02"|"15093"|"13081"|"2001"|"11"|"18.46"|"818"|
"04/10/2019 06:13:12 a.m."|"04/10/2019 02:15:04 p.m."|"A03"|"30865"|"26780"|"4056"|"29"|"31.03"|"995"|
"04/10/2019 06:12:38 a.m."|"04/10/2019 02:15:23 p.m."|"A04"|"31989"|"27275"|"4697"|"17"|"31.59"|"1013"|
"04/10/2019 06:14:28 a.m."|"04/10/2019 02:15:45 p.m."|"B01"|"4301"|"4102"|"166"|"33"|"20.34"|"211"|
"04/10/2019 06:15:16 a.m."|"04/10/2019 02:15:50 p.m."|"C01"|"2620"|"2515"|"56"|"49"|"10.07"|"260"|
