"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"11/10/2019 06:14:18 a.m."|"11/10/2019 12:17:15 p.m."|"A01"|"17977"|"15948"|"1721"|"308"|"20.73"|"867"|
"11/10/2019 06:12:58 a.m."|"11/10/2019 08:37:03 a.m."|"A02"|"6076"|"5301"|"709"|"66"|"8.64"|"703"|
"11/10/2019 06:10:06 a.m."|"11/10/2019 12:56:09 p.m."|"A03"|"18308"|"16022"|"1578"|"708"|"21.58"|"849"|
"11/10/2019 06:16:12 a.m."|"11/10/2019 11:19:09 a.m."|"A04"|"39"|"38"|"0"|"1"|"1.97"|"20"|
"11/10/2019 06:15:56 a.m."|"11/10/2019 12:51:48 p.m."|"B01"|"2215"|"2125"|"26"|"64"|"11.75"|"188"|
"11/10/2019 06:15:21 a.m."|"11/10/2019 12:50:27 p.m."|"C01"|"1089"|"948"|"29"|"112"|"5.41"|"201"|
