"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"20/09/2019 07:47:11 a.m."|"20/09/2019 02:15:28 p.m."|"A01"|"22857"|"20856"|"1963"|"38"|"25.53"|"895"|
"20/09/2019 08:20:19 a.m."|"20/09/2019 02:14:56 p.m."|"A02"|"15794"|"14244"|"1522"|"28"|"22.79"|"693"|
"20/09/2019 09:02:44 a.m."|"20/09/2019 02:15:09 p.m."|"A03"|"18025"|"16616"|"1372"|"37"|"20.13"|"896"|
"20/09/2019 09:03:43 a.m."|"20/09/2019 02:14:57 p.m."|"A04"|"16572"|"14679"|"1867"|"26"|"21.93"|"756"|
"20/09/2019 07:46:08 a.m."|"20/09/2019 02:14:08 p.m."|"B01"|"3624"|"3385"|"208"|"31"|"17.11"|"212"|
"20/09/2019 07:46:25 a.m."|"20/09/2019 02:15:08 p.m."|"C01"|"2452"|"2267"|"111"|"74"|"10.51"|"233"|
