"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"30/09/2019 06:11:18 a.m."|"30/09/2019 02:14:59 p.m."|"A01"|"16342"|"15270"|"948"|"124"|"16.64"|"982"|
"30/09/2019 06:12:42 a.m."|"30/09/2019 02:15:13 p.m."|"A02"|"14044"|"12628"|"1409"|"7"|"16.56"|"848"|
"30/09/2019 06:15:14 a.m."|"30/09/2019 02:15:50 p.m."|"A03"|"26888"|"24189"|"2662"|"37"|"25.56"|"1052"|
"30/09/2019 06:13:59 a.m."|"30/09/2019 02:15:05 p.m."|"A04"|"25553"|"22260"|"3233"|"60"|"27.02"|"946"|
"30/09/2019 06:14:58 a.m."|"30/09/2019 02:14:55 p.m."|"B01"|"3971"|"3768"|"119"|"84"|"18.08"|"220"|
"30/09/2019 06:13:35 a.m."|"30/09/2019 02:15:20 p.m."|"C01"|"2767"|"2643"|"64"|"60"|"10.87"|"255"|
