"Begin Of Period"|"End Of Period"|"Segmento"|"UDS Total"|"Scanned"|"Pick Button"|"Short Pick"|"Tiempo Neto"|"Productividad Neta"|
"23/09/2019 06:11:52 a.m."|"23/09/2019 09:18:02 a.m."|"A01"|"1560"|"1472"|"88"|"0"|"1.70"|"916"|
"23/09/2019 06:12:19 a.m."|"23/09/2019 12:10:56 p.m."|"A02"|"11427"|"10251"|"1176"|"0"|"17.71"|"645"|
"23/09/2019 06:12:33 a.m."|"23/09/2019 02:15:09 p.m."|"A03"|"29053"|"25559"|"3494"|"0"|"27.31"|"1064"|
"23/09/2019 06:16:09 a.m."|"23/09/2019 02:15:09 p.m."|"A04"|"28372"|"24086"|"4286"|"0"|"28.58"|"993"|
"23/09/2019 06:14:57 a.m."|"23/09/2019 02:15:12 p.m."|"B01"|"4593"|"4046"|"515"|"32"|"18.11"|"254"|
"23/09/2019 06:15:22 a.m."|"23/09/2019 02:15:26 p.m."|"C01"|"3060"|"2848"|"183"|"29"|"9.71"|"315"|
